rand_matrix & randn_matrix & hilb_matrix & invhilb_matrix & reciprical_matrix \\ 
10.047881867032626 & 8.643658689768936 & 1.907134720407253 & 1.2857804745391373e+28 & 0.0025000628277146632 \\ 
2.5083099957036796 & 7.802343355897271 & 0.48703840657204867 & 2.9618178783065674e+25 & 1.5709440731765335e-08 \\ 
2.0660149939920567 & 6.935430502726022 & 0.07559582130544103 & 1.4231954011036262e+23 & 5.354747365234586e-29 \\ 
1.9613059066082739 & 6.507148202380013 & 0.008961128614856484 & 1.0716742028442323e+21 & 1.472939654436826e-29 \\ 
1.904731964041219 & 6.155574880654011 & 0.0008676711091714912 & 1.126116490939403e+19 & 4.054267294731397e-33 \\ 
1.5350170099774882 & 5.8414584157817036 & 7.033431473193452e-05 & 1.5511657937536413e+17 & 9.651381298598232e-35 \\ 
1.4000308859475652 & 5.387482926161078 & 4.830510048801921e-06 & 2694709822590430.0 & 2.145128105330067e-37 \\ 
1.372130436668825 & 4.4388646279226736 & 2.827652055261804e-07 & 57574457107308.23 & 3.7865587159637355e-38 \\ 
1.2310802844240314 & 4.010111203492225 & 1.4139547585415592e-08 & 1469301827468.033 & 3.1669436973829305e-39 \\ 
1.131600217392952 & 3.901235651233231 & 6.036095329835451e-10 & 509208449193.51447 & 1.6583457806301788e-39 \\ 
1.0841064378254488 & 3.0827102377388145 & 2.1928899740584974e-11 & 199573521094.30762 & 2.599776258981901e-40 \\ 
0.9079179947913204 & 2.532658601846031 & 6.740811876720582e-13 & 53952305628.26082 & 8.56802711427231e-41 \\ 
0.7145240830781547 & 2.274981291149573 & 1.7383178906896263e-14 & 24306079637.82468 & 3.181633500542299e-41 \\ 
0.6632399275045004 & 2.0716105818907273 & 3.735843783651779e-16 & 5952739801.353444 & 1.161450515475444e-41 \\ 
0.6016256373235976 & 1.531850935454308 & 1.404802420251727e-17 & 3617552348.6599727 & 3.860625043817363e-42 \\ 
0.517582384624043 & 1.3449545779710121 & 1.1844225365325005e-17 & 391745400.3549331 & 3.217216224710801e-42 \\ 
0.2854889126953595 & 1.029373808929732 & 7.074389562107556e-18 & 72146663.28400095 & 1.6945538828224572e-42 \\ 
0.24206395075179518 & 0.7725526432352972 & 3.840301693572978e-18 & 3704632.125282324 & 9.504216096921045e-43 \\ 
0.15468530682661466 & 0.3914068335621167 & 2.557327728003468e-18 & 274557.81057984795 & 2.214770833587648e-43 \\ 
0.029329929593921243 & 0.2076502176036207 & 9.053439614729207e-19 & 547.75727440046 & 8.162147192036215e-46 \\ 
